horizon,variable,BVAR-8,GP-VAR-8 SV,GP-VAR-8 homoskedastic
1,CPI,0.5406385231139756,0.6719211578620673,0.7309796837519942
1,FFR,0.6479369692204598,0.690930254647173,0.770339136471403
1,RGDP,0.7116818304336667,0.7593464096797526,0.7579949345233574
4,CPI,1.2167183254591623,0.9271158786313126,1.0795600609586395
4,FFR,1.6027755411137354,1.3226586751060787,1.495621767741003
4,RGDP,1.5885002231026897,1.1672959896654482,1.1241903282282482
