variable,horizon,q05,q16,q50,q84,q95
UNC,1,0.6814056736928377,0.7020814021182272,0.7368970202500719,0.7755511858756919,0.8050413135456491
UNC,4,0.635913725710378,0.6700999962713899,0.7435135902790908,0.8468577504140181,0.9401475201726809
UNC,8,0.5588519889395849,0.6018344598209554,0.6659861052255323,0.7710933673704712,0.8595543092704283
RGDP,1,1.3557677669000434,1.8631506611086428,2.583262902285834,3.3259466422799013,3.872026702125428
RGDP,4,-2.2666806322606674,-0.9810743514955255,0.6165939582609397,1.9563098359106819,2.6440622035174663
RGDP,8,-2.1491346918356102,-0.8739044752106286,0.9121790285100206,2.4598551592202966,3.4072155529871107
EMP,1,0.37972271381964945,0.6617765089954047,1.1097694544612575,1.5328403597251679,1.8292510620154168
EMP,4,-1.3912634519588192,-0.6712174311085596,0.3206468232943058,1.1953411879057063,1.7822866248235327
EMP,8,-2.437367575876444,-1.5606455655062663,-0.14162980184381246,1.0276495362516764,1.7085491092713654
AWH,1,40.974854067889396,41.10635285191354,41.30128290599457,41.517445264892466,41.67542376750231
AWH,4,40.39416915171199,40.6445470809872,41.0742137965278,41.484901373418424,41.782322405449285
AWH,8,40.18350365201488,40.520049590787345,41.012943547062804,41.588797773777586,41.94821293241706
CPI,1,1.3443595285179175,1.8235989666474057,2.4166152134875563,3.0453105991040235,3.3791742768386444
CPI,4,0.2703287482379782,1.1509059530719916,2.4316559325487126,3.3184896196822264,3.8438028046624604
CPI,8,-0.37585831818551296,0.5906321779152619,1.8997014828586214,2.9538370696620717,3.635525557441634
AHE,1,0.5774421181667083,0.8283804601987834,1.1937711363569248,1.628188399074052,1.9369211758385052
AHE,4,-0.15546265617090807,0.3786125339209522,1.1054190263645558,1.890503441906087,2.6145297788807813
AHE,8,-0.4773849275686364,0.17667545097199763,1.0150762660646748,1.999713915184906,2.7730337851912945
FFR,1,0.024646313713948383,0.6691179643681159,1.5213438496337335,2.274338766145331,2.721214926948163
FFR,4,-2.271629573915408,-1.19333282600827,0.4954124763129415,2.1028962173878925,3.0015446012110845
FFR,8,-2.3606852267839256,-1.23187705551689,0.3353126825790178,1.9624443816507426,3.196205858583946
SP500,1,-6.898831781816772,-3.2235258404980445,0.9529856460959694,5.031917285756343,8.14106759191785
SP500,4,-12.257315136722235,-7.094343207143107,-1.1231713778686785,3.5956371316758786,6.925125394585993
SP500,8,-9.152890901525872,-4.111061670142879,1.6304554603300045,6.6906801642335045,11.57483002945722
