variable,mean,std,min,max,skew,kurt,AR(1)
UNC,0.6512486066666666,0.09487668617039346,0.5289953333333334,1.078428,1.6461782668960225,3.084301166310013,0.9302143273917916
RGDP,2.7237860732711647,2.0920614248327367,-4.060157511979945,8.229903822631535,-0.5312134215302265,0.9993475327133821,0.8688997320644428
EMP,1.409135254309076,1.5189572791697652,-4.122257280679342,4.972119531193009,-0.7648315212758707,1.8337579193708562,0.9140356758558256
AWH,40.806498000000005,0.7550351946910226,38.6667,42.2333,-0.2955881434205224,-0.37988689045960644,0.9494645048405133
CPI,3.8832251553495816,2.7748082680261597,-1.6200075619449805,13.475613252041807,1.4210712105585739,1.8957896987677358,0.9659443258196981
AHE,0.6195490179877885,1.2176207501229739,-1.789387668340181,4.840217194718877,0.40368195806459406,0.43599600826144025,0.9098849019921748
FFR,5.156568,3.89822764190556,0.0733,17.78,0.7454395584101942,0.5198948423713232,0.9706185976220504
SP500,1.7442527966374561,6.2787856875629675,-31.920622076436,18.32972156696977,-1.291569765244128,4.992928903623429,0.3265055331303422
